pokemon_1,pokemon_2,winner,label,turns
Houndoom,Meowth,Houndoom,1,1
Granbull,Mareep,Granbull,1,2
Morgrem,Drapion,Drapion,0,1
Spinda,Mr-Rime,Mr-Rime,0,2
Leavanny,Muk,Muk,0,2
Prinplup,Snorlax,Snorlax,0,2
Toxapex,Altaria,Toxapex,1,2
Zangoose,Brambleghast,Zangoose,1,2
Machop,Keldeo-Ordinary,Keldeo-Ordinary,0,1
Landorus-Incarnate,Bronzor,Landorus-Incarnate,1,1
Wattrel,Whismur,Whismur,0,1
Cufant,Inteleon,Inteleon,0,2
Trapinch,Sirfetchd,Sirfetchd,0,1
Tinkaton,Panpour,Tinkaton,1,2
Tyrantrum,Houndoom,Tyrantrum,1,1
Sewaddle,Clamperl,Sewaddle,1,1
Cranidos,Illumise,Cranidos,1,1
Ivysaur,Scatterbug,Ivysaur,1,1
Mandibuzz,Darkrai,Darkrai,0,3
Venipede,Runerigus,Runerigus,0,1
Terrakion,Inteleon,Inteleon,0,2
Gliscor,Drapion,Drapion,0,2
Zoroark,Iron-Thorns,Iron-Thorns,0,2
Slowking,Arctovish,Slowking,1,4
Cyndaquil,Meowscarada,Meowscarada,0,1
Nidoqueen,Sunflora,Nidoqueen,1,1
Iron-Thorns,Brute-Bonnet,Brute-Bonnet,0,3
Arctibax,Carvanha,Arctibax,1,1
Electabuzz,Reshiram,Reshiram,0,2
Kabuto,Azelf,Azelf,0,1
Magneton,Ariados,Magneton,1,2
Thwackey,Dustox,Dustox,0,2
Mew,Bronzong,Bronzong,0,5
Sharpedo,Crustle,Crustle,0,1
Swadloon,Wo-Chien,Wo-Chien,0,2
Cascoon,Seismitoad,Seismitoad,0,1
Raticate,Kingdra,Kingdra,0,2
Durant,Mareanie,Durant,1,2
Chewtle,Swalot,Swalot,0,2
Aegislash-Shield,Sandaconda,Sandaconda,0,2
Palafin-Zero,Finneon,Palafin-Zero,1,3
Hoopa,Skwovet,Hoopa,1,1
Primeape,Hitmontop,Primeape,1,2
Reshiram,Regieleki,Reshiram,1,2
Luxio,Wishiwashi-Solo,Luxio,1,1
