hp_diff,attack_diff,defense_diff,sp_atk_diff,sp_def_diff,speed_diff,speed_advantage,base_stat_total_diff,p1_type_advantage,p2_type_advantage,type_advantage_diff,p1_effective_power,p2_effective_power,effective_power_diff,effective_power_ratio,p1_best_move_multiplier,p2_best_move_multiplier,best_move_multiplier_diff,p1_ttk_estimate,p2_ttk_estimate,ttk_diff,label
35,45,15,70,40,5,1,210,1.0,1.0,0.0,148.2,50.519999999999996,97.67999999999999,2.933491686460808,1.0,1.0,0.0,0.5398110661268556,2.969121140142518,2.429310074015662,1
35,80,35,-5,15,10,1,170,1.0,1.0,0.0,107.6,60.2,47.39999999999999,1.7873754152823917,1.0,1.0,0.0,1.0223048327137547,2.990033222591362,1.9677283898776075,1
-5,-30,-65,15,-20,-25,-1,-130,0.5,2.0,-1.5,55.800000000000004,217.20000000000002,-161.4,0.2569060773480663,1.0,2.0,-1.0,2.508960573476702,0.5985267034990791,-1.910433869977623,0
-20,-25,-15,-50,-40,-10,-1,-160,1.0,1.0,0.0,45.24,103.73333333333333,-58.49333333333333,0.43611825192802056,1.0,2.0,-1.0,3.5366931918656057,1.1568123393316194,-2.3798808525339865,0
-30,-2,5,5,-20,42,1,0,0.5,2.0,-1.5,50.34133333333333,144.60000000000002,-94.2586666666667,0.34814200092208386,1.0,2.0,-1.0,4.171522407034644,1.0373443983402488,-3.134178008694395,0
-96,-44,3,16,-34,20,1,-135,1.0,1.0,0.0,41.88,88.41176470588235,-46.531764705882345,0.47369261477045915,1.0,1.0,0.0,7.64087870105062,1.447771124417831,-6.193107576632789,0
-25,-7,62,-17,37,-45,-1,5,1.0,1.0,0.0,79.0704761904762,29.028169014084504,50.042307176391695,2.723922275363324,4.0,1.0,3.0,1.8970418192329928,3.4449296458030085,1.5478878265700158,1
18,0,-10,-20,-10,0,0,-22,0.0,1.0,-1.0,64.34285714285716,73.39999999999999,-9.057142857142836,0.8766056831451929,2.0,1.0,1.0,1.709591474245115,1.9891008174386924,0.27950934319357734,1
-21,8,-40,-94,-55,-73,-1,-275,1.0,1.0,0.0,49.93333333333334,197.60571428571427,-147.67238095238093,0.25269174787696524,1.0,1.0,0.0,3.644859813084112,0.7084815361036407,-2.936378276980471,0
32,101,4,91,-6,78,1,300,2.0,1.0,1.0,159.48837209302326,50.24,109.24837209302325,3.1745296993038066,2.0,4.0,-2.0,0.7147856517935258,3.5429936305732483,2.8282079787797225,1
-24,-11,12,4,17,42,1,40,1.0,1.0,0.0,129.2608695652174,93.76,35.5008695652174,1.3786355542365336,1.0,2.0,-1.0,0.9902455432223343,0.8532423208191126,-0.1370032224032217,0
2,-5,-16,-85,-16,-80,-1,-200,0.5,1.0,-0.5,45.323076923076925,137.6938775510204,-92.37080062794347,0.32915825837124196,1.0,1.0,0.0,3.0889341479972843,1.045798132503335,-2.0431360154939493,0
-17,-35,-50,-23,-37,-55,-1,-217,1.0,1.0,0.0,58.578947368421055,161.39999999999998,-102.82105263157892,0.3629426726667972,1.0,1.0,0.0,2.1168014375561546,0.5576208178438663,-1.5591806197122882,0
35,22,29,17,57,30,1,190,1.0,1.0,0.0,80.0,29.651428571428575,50.348571428571425,2.698015031798034,1.0,1.0,0.0,1.25,5.733281942570822,4.483281942570822,1
